"income","age","education","petition_signed","g"
4,71,2,0,0.0418534235780867
3,51,7,1,0.277144250466952
9,59,5,0,0.20207270618528
1,56,5,0,0.121545474135622
7,29,6,0,0.331573616904545
4,85,5,0,0.10314737760417
7,64,6,0,0.22832256180176
7,53,7,1,0.339884145634688
6,56,3,0,0.086623165913363
1,82,6,0,0.122374141406367
2,82,1,0,0.0208972681934988
3,66,3,0,0.0602840548411362
1,64,5,0,0.109487613665675
6,61,3,0,0.0809581022904395
1,54,3,0,0.0611377424969454
2,54,5,0,0.133860116209172
5,94,7,0,0.192893396371746
1,26,4,0,0.127131923814085
8,47,4,0,0.158568521594207
4,86,5,0,0.101789593686538
8,20,5,0,0.293446987381575
7,67,5,1,0.160610310110966
4,76,5,0,0.116103382529645
7,55,6,0,0.252573511733086
5,74,5,0,0.127946955476526
2,49,3,0,0.0706581248488258
5,63,5,0,0.147187382797606
10,55,3,0,0.117488742193029
9,54,7,0,0.373699090250234
8,40,6,0,0.313807079271486
3,71,6,0,0.161712382437953
11,62,4,0,0.161503650245395
8,56,3,0,0.10034591162967
10,21,5,1,0.324915936639121
8,49,7,1,0.371997160028983
3,94,5,0,0.084966508870338
5,52,5,1,0.16876122591215
5,70,3,0,0.0663987793053536
9,43,7,0,0.412417878204483
2,48,2,0,0.0495734524034502
4,69,5,0,0.127137050406916
7,45,6,0,0.281446815155363
2,72,2,0,0.0353050763133661
2,48,3,0,0.0716337604596354
2,90,3,0,0.0398511579352401
7,71,6,0,0.210626456291914
4,93,5,1,0.0927220419011791
8,48,7,0,0.375452662301421
8,47,5,0,0.218006393060695
8,56,5,0,0.196203171536127
3,67,3,0,0.0594531002351597
5,77,5,0,0.123085992102411
3,86,2,0,0.0312683761787235
7,78,6,0,0.193957156741965
4,34,5,0,0.196268433153292
5,78,5,0,0.121501302752183
7,80,6,0,0.189382567986527
9,60,3,0,0.10235340700192
5,72,7,0,0.248521017377927
3,70,7,0,0.224578299981936
8,64,7,0,0.321886746869832
8,30,5,0,0.263794554462499
9,50,5,0,0.224346134086113
9,70,7,0,0.320255068870909
2,86,6,0,0.124761214380036
6,86,7,0,0.225812157684089
1,33,3,0,0.0815477727417036
2,20,2,1,0.0730963801901211
4,73,3,0,0.059035911147949
5,65,5,0,0.143519475208392
9,61,7,0,0.349843723153734
5,66,5,0,0.141714226101602
3,88,1,0,0.0207446624609148
5,69,3,0,0.067319862843046
3,69,3,0,0.0578232894731403
9,49,6,0,0.302766825269357
8,66,7,1,0.315475799484719
5,28,5,0,0.224418143124869
8,18,3,0,0.163506645359026
8,38,5,0,0.241504542173964
8,76,7,1,0.284493676222555
4,66,5,0,0.132133893073623
6,89,3,0,0.0550554896031233
7,53,6,0,0.258188326027077
6,77,5,1,0.132110170880184
2,80,3,0,0.0459001709168849
2,74,3,0,0.0499393271961969
2,51,3,0,0.0687435969919678
4,79,7,0,0.215690514929609
8,33,7,0,0.42863104306442
9,43,7,1,0.412417878204483
6,41,5,0,0.205717717998094
6,85,7,0,0.228403612871357
3,36,5,1,0.179401644271045
2,68,3,0,0.0543136900219132
3,75,5,1,0.109467444366672
9,35,6,0,0.348085654348512
2,64,2,0,0.0395561157036661
3,76,3,0,0.0524436378801478
10,39,7,0,0.446746041914269
9,69,7,1,0.323477505984196
4,78,6,1,0.158718922313678
4,81,3,0,0.0528065074909243
5,31,5,0,0.216803242672221
8,65,5,0,0.176089506801129
8,59,5,0,0.189311966516791
6,58,5,0,0.167713782043689
7,63,3,0,0.0848789442286607
3,57,2,0,0.0471900700174483
8,66,6,0,0.237535725662218
10,44,6,0,0.336430696745006
4,75,5,0,0.117627095741127
10,63,7,0,0.361662296384353
4,66,5,1,0.132133893073623
7,56,3,0,0.0932583363795104
9,20,5,1,0.310538255619331
9,55,6,1,0.284400057460805
6,65,6,0,0.211873681742306
11,57,7,0,0.401678308997367
2,76,3,0,0.0485568568074767
9,66,7,1,0.333244956311646
3,83,2,0,0.0326382011435722
3,55,4,0,0.10042481584496
10,66,6,0,0.268147188817874
7,70,2,1,0.0535160671841706
5,33,6,1,0.284484272498302
10,78,6,1,0.234835021406925
2,18,2,0,0.0751223551979606
5,78,6,0,0.169849558060706
5,34,7,1,0.366910522824924
8,62,6,0,0.248396500170493
2,53,7,0,0.255536959196812
5,41,3,1,0.0983918261067186
10,64,7,1,0.358260908837033
4,52,3,0,0.0788031670617384
11,54,7,0,0.412367745732198
7,43,3,0,0.110803928988873
2,78,3,0,0.0472107555737044
5,76,5,0,0.124688416333634
1,68,2,0,0.0345619917515878
7,66,3,0,0.0815013000233392
1,31,4,0,0.119163260674098
9,21,5,1,0.307386150680628
6,57,5,0,0.169784713265154
8,21,5,0,0.290395296586778
9,71,7,0,0.317049688991912
4,66,3,0,0.0650453757261866
8,60,7,0,0.334910208755789
9,41,7,0,0.41959128302921
6,75,5,0,0.135532634087596
2,32,6,0,0.240333270528203
10,52,6,1,0.31059244342449
4,74,5,0,0.119168109801065
5,69,3,0,0.067319862843046
9,70,6,0,0.241550904172966
6,64,5,0,0.155710099576402
